County,Location,Street Address 1,Street Address 2,City,Zip,Drop-Off Location,Vote-Early Location,County Website,Operating Hours,Additional Hours
Adams,Adams County Board of Elections,117 Baltimore Street,NA,Gettysburg,17325,TRUE,FALSE,http://www.adamscounty.us/Dept/ElectVoteReg/Pages/default.aspx,8:00a.m. Ð 4:30p.m. _Monday - Friday_,
Allegheny,Allegheny Boyce Park Ski Lodge,901 Centerview Drive,NA,Plum,15239,TRUE,TRUE,https://alleghenyvotes.com/ballot-return/,Monday-Friday: 8:30 AM Ð 4:30 PM,"{October 17th: 9 AM to 5 PM, October 18th: 11 AM to 7 PM, October 24th : 9 AM to 5 PM, October 25th: 11 AM to 7 PM, November 3: 7 AM Ð 8 PM}"
Allegheny,Allegheny CCAC Homewood,701 N. Homewood Avenue,NA,Pittsburgh,15208,TRUE,TRUE,https://alleghenyvotes.com/ballot-return/,Monday-Friday: 8:30 AM Ð 4:30 PM,"{October 10th - 9 AM to 5 PM, October 11th - 11 AM to 7 PM, November 3: 7 AM Ð 8 PM}"
Allegheny,Allegheny CCAC South,1750 Clairton Road,NA,West Mifflin,15122,TRUE,TRUE,https://alleghenyvotes.com/ballot-return/,Monday-Friday: 8:30 AM Ð 4:30 PM,"{October 17th - 9 AM to 5 PM, October 18th - 11 AM to 7 PM, October 24th - 9 AM to 5 PM, October 25th - 11 AM to 7 PM, November 3: 7 AM Ð 8 PM}"
Allegheny,Allegheny County Board of Elections,542 Forbes Avenue,NA,Pittsburgh,15219,TRUE,TRUE,https://alleghenyvotes.com/ballot-return/,Monday-Friday: 8:30 AM Ð 4:30 PM,"{October 10th - 9 AM to 5 PM, October 11th - 11 AM to 7 PM, October 17th - 9 AM to 5 PM, October 18th - 11 AM to 7 PM, October 24th - 9 AM to 5 PM, October 25th - 11 AM to 7 PM, November 3: 7 AM Ð 8 PM}"
Allegheny,Allegheny DPW Garage #2,1040 Campbells Run Road,NA,Carnegie,15106,TRUE,TRUE,https://alleghenyvotes.com/ballot-return/,Monday-Friday: 8:30 AM Ð 4:30 PM,"{October 10th - 9 AM to 5 PM, October 11th - 11 AM to 7 PM, November 3: 7 AM Ð 8 PM}"
Allegheny,Allegheny North Park Ice Rink,1200 Pearce Mill Road,NA,Wexford,15090,TRUE,TRUE,https://alleghenyvotes.com/ballot-return/,Monday-Friday: 8:30 AM Ð 4:30 PM,"{October 10th - 9 AM to 5 PM, October 11th - 11 AM to 7 PM, October 24th - 9 AM to 5 PM, October 25th - 11 AM to 7 PM, November 3: 7 AM Ð 8 PM}"
Allegheny,Allegheny Shop 'n Save Hill District,1850 Centre Ave,NA,Pittsburgh,15219,TRUE,TRUE,https://alleghenyvotes.com/ballot-return/,Monday-Friday: 8:30 AM Ð 4:30 PM,"{October 17th - 9 AM to 5 PM, October 18th - 11 AM to 7 PM, November 3: 7 AM Ð 8 PM}"
Allegheny,Allegheny South Park Ice Rink,30 Corrigan Drive,NA,Bethel Park,15102,TRUE,TRUE,https://alleghenyvotes.com/ballot-return/,Monday-Friday: 8:30 AM Ð 4:30 PM,"{October 10th - 9 AM to 5 PM, October 11th - 11 AM to 7 PM, October 17th - 9 AM to 5 PM, October 18th - 11 AM to 7 PM, November 3: 7 AM Ð 8 PM}"
Allegheny,CCAC Allegheny,808 Ridge Avenue,NA,Pittsburgh,15212,TRUE,TRUE,https://alleghenyvotes.com/ballot-return/,Monday-Friday: 8:30 AM Ð 4:30 PM,"{October 24th - 9 AM to 5 PM, October 25th - 11 AM to 7 PM, November 3: 7 AM Ð 8 PM}"
Armstrong,Armstrong County Board of Elections,450 Market Street,Suite 207,Kittanning,16201,TRUE,TRUE,https://www.co.armstrong.pa.us/index.php/departments-m/elections-voters-registration-m,NA,
Beaver,Beaver County Board of Elections,810 Third Street,NA,Beaver,15009,TRUE,TRUE,http://www.beavercountypa.gov/Depts/Elections/Pages/default.aspx,8:30 A.M. Ð 4:30 P.M.,
Bedford,Bedford County Board of Elections,200 S Juliana St,Suite 300,Bedford,15522,TRUE,TRUE,http://www.bedfordcountypa.org/departments/elections/election_applications.php,Courthouse is open Monday-Friday 8:30 a.m. to 4:30 p.m. and Closed on Holidays,
Berks,Berks County Board of Elections,633 Court Street,Main Entrance Lobby,Reading,19601,TRUE,TRUE,https://www.co.berks.pa.us/Dept/Elections/Pages/default.aspx,"Mon-Fri, 8 a.m. Ð 5 p.m.",
Blair,Blair County Board of Elections,423 Allegheny Street,Suite 43,Hollidaysburg,16648,TRUE,TRUE,http://www.blairco.org/Dept/Elections/Pages/default.aspx,NA,
Bradford,Bradford County Board of Elections,6 Court Street,Suite 2,Towanda,18848,TRUE,TRUE,https://bradfordcountypa.org/department/elections/,Monday-Friday 9:00 AM to 5:00 PM,
Bucks,Bucks County Administration Building,55 E. Court St.,NA,Doylestown,18901,TRUE,TRUE,http://www.buckscounty.org/government/administration/ChiefClerk/BoardofElections,"8:00 am to 5:00 pm, Monday through Friday",
Bucks,Lower Bucks Government Services Center,7321 New Falls Road,NA,Levittown,19055,TRUE,TRUE,http://www.buckscounty.org/government/administration/ChiefClerk/BoardofElections,"Hours 8:00 am to 4:30 pm, Monday through Friday",
Bucks,Upper Bucks Government Center,261 California Rd.,NA,Quakertown,18951,TRUE,TRUE,http://www.buckscounty.org/government/administration/ChiefClerk/BoardofElections,"Hours 8:00 am to 4:30 pm, Monday through Friday",
Butler,Butler County Board of Elections,124 W Diamond Street,NA,Butler,16001,TRUE,TRUE,https://www.butlercountypa.gov/160/Bureau-of-Elections,NA,
Cambria,Cambria County Board of Elections,200 South Center Street,ELECTIONS/VOTER REGISTRATION OFFICE,Ebensberg,15931,TRUE,TRUE,https://www.cambriacountypa.gov/election-and-voter-registration.aspx,Monday - Friday 9 a.m. to 4 p.m.,
Cameron,Cameron County Board of Elections,20 E. 5th St.,NA,Emporium,15834,TRUE,TRUE,NA,NA,
Carbon,Carbon County Board of Elections,76 Susquehanna St.,NA,Jim Thorpe,18229,TRUE,TRUE,https://www.carboncounty.com/index.php/2-uncategorised/60-elections,NA,
Centre,Ferguson Township Municipal Building,3147 Research Drive,NA,State College,16801,TRUE,FALSE,https://centrecountyvotes.com/dropbox/,Most likely: 24/7,
Centre,HUB-Robeson Center,100 Pollock Road,NA,University Park,16802,TRUE,FALSE,https://centrecountyvotes.com/dropbox/,Most likely: 24/7,
Centre,Magisterial District Office 49-3-03,118 Enterprise Drive,NA,Phillipsburg,16866,TRUE,FALSE,https://centrecountyvotes.com/dropbox/,Most likely: 24/7,
Centre,Magisterial District Office 49-3-04,2795 Earlystown Road,NA,Central Hall,16828,TRUE,FALSE,https://centrecountyvotes.com/dropbox/,8:30 a.m. Ð 5:00 p.m.,
Centre,Patton Township Municipal Building,100 Patton Plaza,NA,State College,16803,TRUE,FALSE,https://centrecountyvotes.com/dropbox/,Most likely: 24/7,
Centre,Spring Township Municipal Building,1309 Blanchard Street,NA,Bellefonte,16823,TRUE,FALSE,https://centrecountyvotes.com/dropbox/,Most likely: 24/7,
Centre,State College Borough Municipal Building,243 South Allen Street,NA,State College,16801,TRUE,FALSE,https://centrecountyvotes.com/dropbox/,Most likely: 24/7,
Centre,Willowbank Office Building,420 Holmes Street,NA,Bellefonte,16823,TRUE,FALSE,https://centrecountyvotes.com/dropbox/,Most likely: 24/7,
Chester,Avon Grove Library,117 Rosehill Avenue,NA,West Grove,19390,TRUE,FALSE,https://www.chesco.org/4758/Drop-Off-Locations,"Starting October 13: M-F 9:00AM-7:00PM, Sat & Sun 10:00AM - 2:00PM",
Chester,Chester County Government Services Center,601 Westtown Rd,Suite 150,West Chester,19380,TRUE,TRUE,https://www.chesco.org/4758/Drop-Off-Locations,"Starting October 13: 24 hours/day, 7 days/week",
Chester,Chester County Library,450 Exton Square Parkway,NA,Exton,19341,TRUE,FALSE,https://www.chesco.org/4758/Drop-Off-Locations,"Starting October 13: M-F 9:00AM-7:00PM, Sat & Sun 10:00AM - 2:00PM",
Chester,Coatesville Area Public Library,501 E. Lincoln Highway,NA,Coatesville,19320,TRUE,FALSE,https://www.chesco.org/4758/Drop-Off-Locations,"Starting October 13: M-F 9:00AM-7:00PM, Sat & Sun 10:00AM - 2:00PM",
